T,discount_factor,spot_rate_cc,forward_rate_cc
1.2020033389,0.914881230388,0.0740106305095,0.0775710050612
1.22704507513,0.913104288763,0.0740846284194,0.0777018917872
1.25208681135,0.911327822309,0.0741582746123,0.0778318262761
1.27712854758,0.909551863294,0.0742315711811,0.0779608161552
1.30217028381,0.90777644362,0.0743045202034,0.0780888689833
1.32721202003,0.906001594827,0.0743771237424,0.0782159922516
1.35225375626,0.904227348091,0.0744493838464,0.0783421933837
1.37729549249,0.902453734235,0.0745213025489,0.0784674797369
1.40233722871,0.900680783725,0.0745928818693,0.0785918586026
1.42737896494,0.89890852668,0.0746641238124,0.0787153372071
1.45242070117,0.897136992867,0.0747350303689,0.078837922712
1.4774624374,0.895366211711,0.0748056035153,0.0789596222152
1.50250417362,0.893596212296,0.074875845214,0.079080442751
1.52754590985,0.891827023368,0.0749457574137,0.0792003912915
1.55258764608,0.890058673336,0.0750153420494,0.0793194747464
1.5776293823,0.888291190279,0.0750846010421,0.0794376999643
1.60267111853,0.886524601944,0.0751535362996,0.079555073733
1.62771285476,0.884758935756,0.0752221497161,0.0796716027799
1.65275459098,0.882994218813,0.0752904431725,0.079787293773
1.67779632721,0.881230477894,0.0753584185365,0.0799021533214
1.70283806344,0.879467739463,0.0754260776627,0.0800161879755
1.72787979967,0.877706029665,0.0754934223927,0.0801294042281
1.75292153589,0.875945374338,0.0755604545552,0.0802418085148
1.77796327212,0.874185799008,0.0756271759661,0.0803534072144
1.80300500835,0.872427328897,0.0756935884288,0.0804642066495
1.82804674457,0.870669988923,0.0757596937337,0.0805742130872
1.8530884808,0.868913803704,0.0758254936592,0.0806834327398
1.87813021703,0.867158797559,0.0758909899711,0.0807918717646
1.90317195326,0.865404994516,0.0759561844229,0.0808995362655
1.92821368948,0.863652418307,0.0760210787559,0.0810064322926
1.95325542571,0.861901092375,0.0760856746996,0.0811125658433
1.97829716194,0.860151039879,0.0761499739711,0.0812179428626
2.00333889816,0.858402283692,0.076213978276,0.0813225692435
2.02838063439,0.856654846404,0.0762776893079,0.0814264508277
2.05342237062,0.854908750329,0.0763411087488,0.0815295934062
2.07846410684,0.853164017503,0.076404238269,0.0816320027196
2.10350584307,0.851420669688,0.0764670795276,0.0817336844583
2.1285475793,0.849678728377,0.0765296341718,0.0818346442638
2.15358931553,0.847938214791,0.0765919038379,0.0819348877283
2.17863105175,0.846199149887,0.0766538901509,0.082034420396
2.20367278798,0.844461554359,0.0767155947245,0.0821332477626
